Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
3630793|2018/05/09|2018/05/09||18|2018/05/11
3630804|2018/05/08|2018/05/08||18|2018/05/11
3630805|2018/05/09|2018/05/09||18|2018/05/11
3633990|2018/05/04|2018/05/04||18|2018/05/11
3635582|2018/05/02|2018/05/02||22|2018/05/11
3635596|2018/05/02|2018/05/02||18|2018/05/11
3638798|2018/05/08|2018/05/08||18|2018/05/11
3645375|2018/05/09|2018/05/09||20|2018/05/11
3645385|2018/05/09|2018/05/09||20|2018/05/11
3646937|2018/05/02|2018/05/02||18|2018/05/11
3653401|2018/05/08|2018/05/08||18|2018/05/11
3687765|2018/05/07|2018/05/07||18|2018/05/11
3692621|2018/05/07|2018/05/07||18|2018/05/11
3692632|2018/05/02|2018/05/02||1|2018/05/11
3692633|2018/05/03|2018/05/03||1|2018/05/11
3703429|2018/05/08|2018/05/08||1|2018/05/11
3711254|2018/05/10|2018/05/10||18|2018/05/11
3730515|2018/05/09|2018/05/09||18|2018/05/11
3731801|2018/05/02|2018/05/02||1|2018/05/11
3744154|2018/05/03|2018/05/03||22|2018/05/11
3745637|2018/05/09|2018/05/09||18|2018/05/11
3773971|2018/05/04|2018/05/04||1|2018/05/11
3799261|2018/05/05|2018/05/05||18|2018/05/11
3802608|2018/05/07|2018/05/07||18|2018/05/11
3805566|2018/05/10|2018/05/10||18|2018/05/11
3811645|2018/05/09|2018/05/09||18|2018/05/11
3818363|2018/05/02|2018/05/02||18|2018/05/11
3818372|2018/05/04|2018/05/04||18|2018/05/11
3826636|2018/05/08|2018/05/02||1|2018/05/11
3831331|2018/05/10|2018/05/10||18|2018/05/11
3832735|2018/05/02|2018/05/02||18|2018/05/11
3836573|2018/05/05|2018/05/05||18|2018/05/11
3839999|2018/05/04|2018/05/04||18|2018/05/11
3842213|2018/05/03|2018/05/03||1|2018/05/11
3843292|2018/05/02|2018/05/02||18|2018/05/11
3845143|2018/05/05|2018/05/05||22|2018/05/11
3861303|2018/05/03|2018/05/03||18|2018/05/11
3868180|2018/05/03|2018/05/03||18|2018/05/11
3868186|2018/05/02|2018/05/02||18|2018/05/11
3868187|2018/05/02|2018/05/02||18|2018/05/11
3868206|2018/05/02|2018/05/02||18|2018/05/11
3868222|2018/05/02|2018/05/02||18|2018/05/11
3870192|2018/05/04|2018/05/04||18|2018/05/11
3870215|2018/05/04|2018/05/04||18|2018/05/11
3873262|2018/05/04|2018/05/04||18|2018/05/11
3874531|2018/05/02|2018/05/02||22|2018/05/11
3874537|2018/05/02|2018/05/02||18|2018/05/11
3880308|2018/05/03|2018/05/03||18|2018/05/11
3880309|2018/05/07|2018/05/07||18|2018/05/11
3880317|2018/05/07|2018/05/07||18|2018/05/11
3883613|2018/05/04|2018/05/04||18|2018/05/11
3883620|2018/05/03|2018/05/03||1|2018/05/11
3883653|2018/05/04|2018/05/04||22|2018/05/11
3891037|2018/05/04|2018/05/04||18|2018/05/11
3891049|2018/05/07|2018/05/07||18|2018/05/11
3894142|2018/05/02|2018/05/02||1|2018/05/11
3894146|2018/05/04|2018/05/04||18|2018/05/11
3894191|2018/05/07|2018/05/07||18|2018/05/11
3894196|2018/05/04|2018/05/04||18|2018/05/11
3894231|2018/05/04|2018/05/04||18|2018/05/11
3894234|2018/05/04|2018/05/04||18|2018/05/11
3895556|2018/05/08|2018/05/08||1|2018/05/11
3896739|2018/05/05|2018/05/05||1|2018/05/11
3898823|2018/05/04|2018/05/04||18|2018/05/11
3903321|2018/05/02|2018/05/02||18|2018/05/11
3903323|2018/05/03|2018/05/03||18|2018/05/11
3903330|2018/05/04|2018/05/04||18|2018/05/11
3903382|2018/05/02|2018/05/02||18|2018/05/11
3904720|2018/05/02|2018/05/02||1|2018/05/11
3904796|2018/05/11|2018/05/11||18|2018/05/11
3906201|2018/05/07|2018/05/07||18|2018/05/11
3909664|2018/05/07|2018/05/07||18|2018/05/11
3910528|2018/05/03|2018/05/03||18|2018/05/11
3910574|2018/05/02|2018/05/02||22|2018/05/11
3913511|2018/05/08|2018/05/08||18|2018/05/11
3913540|2018/05/02|2018/05/02||18|2018/05/11
3914258|2018/05/07|2018/05/07||18|2018/05/11
3916989|2018/05/03|2018/05/03||18|2018/05/11
3918391|2018/05/09|2018/05/09||1|2018/05/11
3919623|2018/05/03|2018/05/03||18|2018/05/11
3919669|2018/05/05|2018/05/05||18|2018/05/11
3921068|2018/05/08|2018/05/08||18|2018/05/11
3921071|2018/05/08|2018/05/08||1|2018/05/11
3921124|2018/05/08|2018/05/08||22|2018/05/11
3921136|2018/05/05|2018/05/05||18|2018/05/11
