Creacion 23/05/2018 06:06:32 p.m.
FECHA_ULTIMO_MOVIMIENTO|TOTAL|SYSDATE
22/05/2018|3144|23/05/2018
21/05/2018|63236|23/05/2018
20/05/2018|12353|23/05/2018
19/05/2018|25493|23/05/2018
18/05/2018|77642|23/05/2018
17/05/2018|90874|23/05/2018
16/05/2018|219487|23/05/2018
15/05/2018|165288|23/05/2018
14/05/2018|259018|23/05/2018
13/05/2018|48280|23/05/2018
12/05/2018|49721|23/05/2018
11/05/2018|128776|23/05/2018
10/05/2018|125615|23/05/2018
09/05/2018|146175|23/05/2018
08/05/2018|114581|23/05/2018
07/05/2018|283491|23/05/2018
06/05/2018|47283|23/05/2018
05/05/2018|52939|23/05/2018
04/05/2018|112234|23/05/2018
03/05/2018|122159|23/05/2018
02/05/2018|235974|23/05/2018
01/05/2018|7889229|23/05/2018
30/04/2018|230831|23/05/2018
29/04/2018|33154|23/05/2018
28/04/2018|31527|23/05/2018
27/04/2018|77683|23/05/2018
26/04/2018|81586|23/05/2018
25/04/2018|93078|23/05/2018
24/04/2018|85626|23/05/2018
23/04/2018|165290|23/05/2018
22/04/2018|36819|23/05/2018
21/04/2018|35308|23/05/2018
20/04/2018|91074|23/05/2018
19/04/2018|89501|23/05/2018
18/04/2018|89461|23/05/2018
17/04/2018|87870|23/05/2018
16/04/2018|237676|23/05/2018
15/04/2018|72799|23/05/2018
14/04/2018|36545|23/05/2018
13/04/2018|80996|23/05/2018
12/04/2018|83124|23/05/2018
11/04/2018|89587|23/05/2018
10/04/2018|84670|23/05/2018
09/04/2018|158069|23/05/2018
08/04/2018|41265|23/05/2018
07/04/2018|36660|23/05/2018
06/04/2018|86474|23/05/2018
05/04/2018|84543|23/05/2018
04/04/2018|81324|23/05/2018
03/04/2018|81512|23/05/2018
02/04/2018|188402|23/05/2018
01/04/2018|583198|23/05/2018
31/03/2018|101234|23/05/2018
30/03/2018|30778|23/05/2018
29/03/2018|38877|23/05/2018
28/03/2018|64535|23/05/2018
27/03/2018|55372|23/05/2018
26/03/2018|89947|23/05/2018
25/03/2018|25644|23/05/2018
24/03/2018|25565|23/05/2018
23/03/2018|65438|23/05/2018
22/03/2018|65644|23/05/2018
21/03/2018|71699|23/05/2018
20/03/2018|97846|23/05/2018
19/03/2018|68008|23/05/2018
18/03/2018|30370|23/05/2018
17/03/2018|32834|23/05/2018
16/03/2018|143057|23/05/2018
15/03/2018|103958|23/05/2018
14/03/2018|62142|23/05/2018
13/03/2018|65291|23/05/2018
12/03/2018|122556|23/05/2018
11/03/2018|32074|23/05/2018
10/03/2018|32194|23/05/2018
09/03/2018|74194|23/05/2018
08/03/2018|77263|23/05/2018
07/03/2018|71161|23/05/2018
06/03/2018|70721|23/05/2018
05/03/2018|145035|23/05/2018
04/03/2018|33597|23/05/2018
03/03/2018|31997|23/05/2018
02/03/2018|94668|23/05/2018
01/03/2018|711938|23/05/2018
28/02/2018|165784|23/05/2018
27/02/2018|52325|23/05/2018
26/02/2018|105991|23/05/2018
25/02/2018|29499|23/05/2018
24/02/2018|25042|23/05/2018
23/02/2018|69441|23/05/2018
22/02/2018|72512|23/05/2018
21/02/2018|64939|23/05/2018
20/02/2018|66373|23/05/2018
19/02/2018|122718|23/05/2018
18/02/2018|33572|23/05/2018
17/02/2018|29552|23/05/2018
16/02/2018|135223|23/05/2018
15/02/2018|98700|23/05/2018
14/02/2018|58827|23/05/2018
13/02/2018|58915|23/05/2018
12/02/2018|120340|23/05/2018
11/02/2018|41040|23/05/2018
10/02/2018|31407|23/05/2018
09/02/2018|73391|23/05/2018
08/02/2018|67105|23/05/2018
07/02/2018|67845|23/05/2018
06/02/2018|86326|23/05/2018
05/02/2018|71735|23/05/2018
04/02/2018|30707|23/05/2018
03/02/2018|30267|23/05/2018
02/02/2018|79075|23/05/2018
01/02/2018|514990|23/05/2018
31/01/2018|152977|23/05/2018
30/01/2018|48938|23/05/2018
29/01/2018|94341|23/05/2018
28/01/2018|30258|23/05/2018
27/01/2018|25200|23/05/2018
26/01/2018|66941|23/05/2018
25/01/2018|62082|23/05/2018
24/01/2018|62487|23/05/2018
23/01/2018|61870|23/05/2018
22/01/2018|121941|23/05/2018
21/01/2018|32827|23/05/2018
20/01/2018|31192|23/05/2018
19/01/2018|73678|23/05/2018
18/01/2018|68223|23/05/2018
17/01/2018|67662|23/05/2018
16/01/2018|149784|23/05/2018
15/01/2018|174861|23/05/2018
14/01/2018|35239|23/05/2018
13/01/2018|28769|23/05/2018
12/01/2018|75613|23/05/2018
11/01/2018|69708|23/05/2018
10/01/2018|73144|23/05/2018
09/01/2018|65175|23/05/2018
08/01/2018|143954|23/05/2018
07/01/2018|37840|23/05/2018
06/01/2018|36150|23/05/2018
05/01/2018|77927|23/05/2018
04/01/2018|72129|23/05/2018
03/01/2018|70685|23/05/2018
02/01/2018|123533|23/05/2018
01/01/2018|540773|23/05/2018
24/05/2018|108|24/05/2018
23/05/2018|5197|24/05/2018
22/05/2018|46323|24/05/2018
21/05/2018|119884|24/05/2018
20/05/2018|25227|24/05/2018
19/05/2018|33162|24/05/2018
18/05/2018|93565|24/05/2018
17/05/2018|105177|24/05/2018
16/05/2018|260461|24/05/2018
15/05/2018|180265|24/05/2018
14/05/2018|265563|24/05/2018
13/05/2018|48794|24/05/2018
12/05/2018|50215|24/05/2018
11/05/2018|128344|24/05/2018
10/05/2018|124603|24/05/2018
09/05/2018|146917|24/05/2018
08/05/2018|112723|24/05/2018
07/05/2018|280601|24/05/2018
06/05/2018|43802|24/05/2018
05/05/2018|51347|24/05/2018
04/05/2018|110019|24/05/2018
03/05/2018|120579|24/05/2018
02/05/2018|235120|24/05/2018
01/05/2018|7840980|24/05/2018
30/04/2018|229650|24/05/2018
29/04/2018|33120|24/05/2018
28/04/2018|31202|24/05/2018
27/04/2018|78406|24/05/2018
26/04/2018|80698|24/05/2018
25/04/2018|92316|24/05/2018
24/04/2018|83195|24/05/2018
23/04/2018|163709|24/05/2018
22/04/2018|36790|24/05/2018
21/04/2018|35326|24/05/2018
20/04/2018|90495|24/05/2018
19/04/2018|88802|24/05/2018
18/04/2018|88586|24/05/2018
17/04/2018|86910|24/05/2018
16/04/2018|235521|24/05/2018
15/04/2018|71993|24/05/2018
14/04/2018|36374|24/05/2018
13/04/2018|80588|24/05/2018
12/04/2018|82484|24/05/2018
11/04/2018|89016|24/05/2018
10/04/2018|84071|24/05/2018
09/04/2018|157176|24/05/2018
08/04/2018|41319|24/05/2018
07/04/2018|36382|24/05/2018
06/04/2018|86230|24/05/2018
05/04/2018|83958|24/05/2018
04/04/2018|80838|24/05/2018
03/04/2018|81010|24/05/2018
02/04/2018|187044|24/05/2018
01/04/2018|581947|24/05/2018
31/03/2018|100911|24/05/2018
30/03/2018|30713|24/05/2018
29/03/2018|38715|24/05/2018
28/03/2018|64202|24/05/2018
27/03/2018|55135|24/05/2018
26/03/2018|89454|24/05/2018
25/03/2018|25583|24/05/2018
24/03/2018|25492|24/05/2018
23/03/2018|65019|24/05/2018
22/03/2018|65168|24/05/2018
21/03/2018|71199|24/05/2018
20/03/2018|97340|24/05/2018
19/03/2018|67726|24/05/2018
18/03/2018|30299|24/05/2018
17/03/2018|32757|24/05/2018
16/03/2018|142520|24/05/2018
15/03/2018|103620|24/05/2018
14/03/2018|61878|24/05/2018
13/03/2018|65000|24/05/2018
12/03/2018|121461|24/05/2018
11/03/2018|32005|24/05/2018
10/03/2018|32089|24/05/2018
09/03/2018|73710|24/05/2018
08/03/2018|76684|24/05/2018
07/03/2018|70876|24/05/2018
06/03/2018|70406|24/05/2018
05/03/2018|144360|24/05/2018
04/03/2018|33548|24/05/2018
03/03/2018|31881|24/05/2018
02/03/2018|94347|24/05/2018
01/03/2018|705233|24/05/2018
28/02/2018|165547|24/05/2018
27/02/2018|52131|24/05/2018
26/02/2018|105673|24/05/2018
25/02/2018|29463|24/05/2018
24/02/2018|24972|24/05/2018
23/02/2018|69253|24/05/2018
22/02/2018|72288|24/05/2018
21/02/2018|64699|24/05/2018
20/02/2018|66110|24/05/2018
19/02/2018|122178|24/05/2018
18/02/2018|33529|24/05/2018
17/02/2018|29475|24/05/2018
16/02/2018|134751|24/05/2018
15/02/2018|98490|24/05/2018
14/02/2018|58582|24/05/2018
13/02/2018|58702|24/05/2018
12/02/2018|119842|24/05/2018
11/02/2018|40985|24/05/2018
10/02/2018|31339|24/05/2018
09/02/2018|73227|24/05/2018
08/02/2018|66912|24/05/2018
07/02/2018|67603|24/05/2018
06/02/2018|86010|24/05/2018
05/02/2018|71503|24/05/2018
04/02/2018|30665|24/05/2018
03/02/2018|30199|24/05/2018
02/02/2018|78875|24/05/2018
01/02/2018|513644|24/05/2018
31/01/2018|152836|24/05/2018
30/01/2018|48806|24/05/2018
29/01/2018|94503|24/05/2018
28/01/2018|30233|24/05/2018
27/01/2018|24601|24/05/2018
26/01/2018|66819|24/05/2018
25/01/2018|61915|24/05/2018
24/01/2018|62332|24/05/2018
23/01/2018|61703|24/05/2018
22/01/2018|121527|24/05/2018
21/01/2018|32799|24/05/2018
20/01/2018|31139|24/05/2018
19/01/2018|73533|24/05/2018
18/01/2018|68057|24/05/2018
17/01/2018|67488|24/05/2018
16/01/2018|149334|24/05/2018
15/01/2018|174411|24/05/2018
14/01/2018|35207|24/05/2018
13/01/2018|28736|24/05/2018
12/01/2018|75415|24/05/2018
11/01/2018|69564|24/05/2018
10/01/2018|72993|24/05/2018
09/01/2018|65009|24/05/2018
08/01/2018|143485|24/05/2018
07/01/2018|37811|24/05/2018
06/01/2018|36082|24/05/2018
05/01/2018|77800|24/05/2018
04/01/2018|72013|24/05/2018
03/01/2018|70545|24/05/2018
02/01/2018|123247|24/05/2018
01/01/2018|538654|24/05/2018
24/05/2018|108|25/05/2018
23/05/2018|5197|25/05/2018
22/05/2018|46323|25/05/2018
21/05/2018|119884|25/05/2018
20/05/2018|25227|25/05/2018
19/05/2018|33162|25/05/2018
18/05/2018|93565|25/05/2018
17/05/2018|105177|25/05/2018
16/05/2018|260461|25/05/2018
15/05/2018|180265|25/05/2018
14/05/2018|265563|25/05/2018
13/05/2018|48794|25/05/2018
12/05/2018|50215|25/05/2018
11/05/2018|128344|25/05/2018
10/05/2018|124603|25/05/2018
09/05/2018|146917|25/05/2018
08/05/2018|112723|25/05/2018
07/05/2018|280601|25/05/2018
06/05/2018|43802|25/05/2018
05/05/2018|51347|25/05/2018
04/05/2018|110019|25/05/2018
03/05/2018|120579|25/05/2018
02/05/2018|235120|25/05/2018
01/05/2018|7840980|25/05/2018
30/04/2018|229650|25/05/2018
29/04/2018|33120|25/05/2018
28/04/2018|31202|25/05/2018
27/04/2018|78406|25/05/2018
26/04/2018|80698|25/05/2018
25/04/2018|92316|25/05/2018
24/04/2018|83195|25/05/2018
23/04/2018|163709|25/05/2018
22/04/2018|36790|25/05/2018
21/04/2018|35326|25/05/2018
20/04/2018|90495|25/05/2018
19/04/2018|88802|25/05/2018
18/04/2018|88586|25/05/2018
17/04/2018|86910|25/05/2018
16/04/2018|235521|25/05/2018
15/04/2018|71993|25/05/2018
14/04/2018|36374|25/05/2018
13/04/2018|80588|25/05/2018
12/04/2018|82484|25/05/2018
11/04/2018|89016|25/05/2018
10/04/2018|84071|25/05/2018
09/04/2018|157176|25/05/2018
08/04/2018|41319|25/05/2018
07/04/2018|36382|25/05/2018
06/04/2018|86230|25/05/2018
05/04/2018|83958|25/05/2018
04/04/2018|80838|25/05/2018
03/04/2018|81010|25/05/2018
02/04/2018|187044|25/05/2018
01/04/2018|581947|25/05/2018
31/03/2018|100911|25/05/2018
30/03/2018|30713|25/05/2018
29/03/2018|38715|25/05/2018
28/03/2018|64202|25/05/2018
27/03/2018|55135|25/05/2018
26/03/2018|89454|25/05/2018
25/03/2018|25583|25/05/2018
24/03/2018|25492|25/05/2018
23/03/2018|65019|25/05/2018
22/03/2018|65168|25/05/2018
21/03/2018|71199|25/05/2018
20/03/2018|97340|25/05/2018
19/03/2018|67726|25/05/2018
18/03/2018|30299|25/05/2018
17/03/2018|32757|25/05/2018
16/03/2018|142520|25/05/2018
15/03/2018|103620|25/05/2018
14/03/2018|61878|25/05/2018
13/03/2018|65000|25/05/2018
12/03/2018|121461|25/05/2018
11/03/2018|32005|25/05/2018
10/03/2018|32089|25/05/2018
09/03/2018|73710|25/05/2018
08/03/2018|76684|25/05/2018
07/03/2018|70876|25/05/2018
06/03/2018|70406|25/05/2018
05/03/2018|144360|25/05/2018
04/03/2018|33548|25/05/2018
03/03/2018|31881|25/05/2018
02/03/2018|94347|25/05/2018
01/03/2018|705233|25/05/2018
28/02/2018|165547|25/05/2018
27/02/2018|52131|25/05/2018
26/02/2018|105673|25/05/2018
25/02/2018|29463|25/05/2018
24/02/2018|24972|25/05/2018
23/02/2018|69253|25/05/2018
22/02/2018|72288|25/05/2018
21/02/2018|64699|25/05/2018
20/02/2018|66110|25/05/2018
19/02/2018|122178|25/05/2018
18/02/2018|33529|25/05/2018
17/02/2018|29475|25/05/2018
16/02/2018|134751|25/05/2018
15/02/2018|98490|25/05/2018
14/02/2018|58582|25/05/2018
13/02/2018|58702|25/05/2018
12/02/2018|119842|25/05/2018
11/02/2018|40985|25/05/2018
10/02/2018|31339|25/05/2018
09/02/2018|73227|25/05/2018
08/02/2018|66912|25/05/2018
07/02/2018|67603|25/05/2018
06/02/2018|86010|25/05/2018
05/02/2018|71503|25/05/2018
04/02/2018|30665|25/05/2018
03/02/2018|30199|25/05/2018
02/02/2018|78875|25/05/2018
01/02/2018|513644|25/05/2018
31/01/2018|152836|25/05/2018
30/01/2018|48806|25/05/2018
29/01/2018|94503|25/05/2018
28/01/2018|30233|25/05/2018
27/01/2018|24601|25/05/2018
26/01/2018|66819|25/05/2018
25/01/2018|61915|25/05/2018
24/01/2018|62332|25/05/2018
23/01/2018|61703|25/05/2018
22/01/2018|121527|25/05/2018
21/01/2018|32799|25/05/2018
20/01/2018|31139|25/05/2018
19/01/2018|73533|25/05/2018
18/01/2018|68057|25/05/2018
17/01/2018|67488|25/05/2018
16/01/2018|149334|25/05/2018
15/01/2018|174411|25/05/2018
14/01/2018|35207|25/05/2018
13/01/2018|28736|25/05/2018
12/01/2018|75415|25/05/2018
11/01/2018|69564|25/05/2018
10/01/2018|72993|25/05/2018
09/01/2018|65009|25/05/2018
08/01/2018|143485|25/05/2018
07/01/2018|37811|25/05/2018
06/01/2018|36082|25/05/2018
05/01/2018|77800|25/05/2018
04/01/2018|72013|25/05/2018
03/01/2018|70545|25/05/2018
02/01/2018|123247|25/05/2018
01/01/2018|538654|25/05/2018
29/05/2018|202|29/05/2018
28/05/2018|9253|29/05/2018
27/05/2018|2496|29/05/2018
26/05/2018|16791|29/05/2018
25/05/2018|55088|29/05/2018
24/05/2018|77933|29/05/2018
23/05/2018|102534|29/05/2018
22/05/2018|102831|29/05/2018
21/05/2018|243757|29/05/2018
20/05/2018|50129|29/05/2018
19/05/2018|50717|29/05/2018
18/05/2018|128382|29/05/2018
17/05/2018|128739|29/05/2018
16/05/2018|290962|29/05/2018
15/05/2018|177738|29/05/2018
14/05/2018|267340|29/05/2018
13/05/2018|49275|29/05/2018
12/05/2018|48322|29/05/2018
11/05/2018|125187|29/05/2018
10/05/2018|118197|29/05/2018
09/05/2018|140677|29/05/2018
08/05/2018|109107|29/05/2018
07/05/2018|271687|29/05/2018
06/05/2018|43173|29/05/2018
05/05/2018|50283|29/05/2018
04/05/2018|108627|29/05/2018
03/05/2018|118280|29/05/2018
02/05/2018|239700|29/05/2018
01/05/2018|8035022|29/05/2018
30/04/2018|223203|29/05/2018
29/04/2018|31755|29/05/2018
28/04/2018|30032|29/05/2018
27/04/2018|74312|29/05/2018
26/04/2018|78258|29/05/2018
25/04/2018|90105|29/05/2018
24/04/2018|79048|29/05/2018
23/04/2018|158083|29/05/2018
22/04/2018|36386|29/05/2018
21/04/2018|34540|29/05/2018
20/04/2018|88634|29/05/2018
19/04/2018|85965|29/05/2018
18/04/2018|84809|29/05/2018
17/04/2018|85035|29/05/2018
16/04/2018|229094|29/05/2018
15/04/2018|71681|29/05/2018
14/04/2018|35070|29/05/2018
13/04/2018|79614|29/05/2018
12/04/2018|80600|29/05/2018
11/04/2018|87534|29/05/2018
10/04/2018|82804|29/05/2018
09/04/2018|153906|29/05/2018
08/04/2018|40824|29/05/2018
07/04/2018|35682|29/05/2018
06/04/2018|85117|29/05/2018
05/04/2018|82798|29/05/2018
04/04/2018|79621|29/05/2018
03/04/2018|79609|29/05/2018
02/04/2018|181976|29/05/2018
01/04/2018|283533|29/05/2018
31/03/2018|100606|29/05/2018
30/03/2018|30516|29/05/2018
29/03/2018|38286|29/05/2018
28/03/2018|63496|29/05/2018
27/03/2018|54486|29/05/2018
26/03/2018|88176|29/05/2018
25/03/2018|25373|29/05/2018
24/03/2018|25163|29/05/2018
23/03/2018|64287|29/05/2018
22/03/2018|64292|29/05/2018
21/03/2018|70257|29/05/2018
20/03/2018|96065|29/05/2018
19/03/2018|66759|29/05/2018
18/03/2018|30131|29/05/2018
17/03/2018|32478|29/05/2018
16/03/2018|140930|29/05/2018
15/03/2018|102766|29/05/2018
14/03/2018|61015|29/05/2018
13/03/2018|64134|29/05/2018
12/03/2018|119530|29/05/2018
11/03/2018|31761|29/05/2018
10/03/2018|31810|29/05/2018
09/03/2018|72961|29/05/2018
08/03/2018|75802|29/05/2018
07/03/2018|70087|29/05/2018
06/03/2018|69704|29/05/2018
05/03/2018|142566|29/05/2018
04/03/2018|33424|29/05/2018
03/03/2018|31619|29/05/2018
02/03/2018|93072|29/05/2018
01/03/2018|678346|29/05/2018
28/02/2018|164727|29/05/2018
27/02/2018|51627|29/05/2018
26/02/2018|104688|29/05/2018
25/02/2018|29344|29/05/2018
24/02/2018|24801|29/05/2018
23/02/2018|68397|29/05/2018
22/02/2018|70420|29/05/2018
21/02/2018|64097|29/05/2018
20/02/2018|65503|29/05/2018
19/02/2018|120751|29/05/2018
18/02/2018|33399|29/05/2018
17/02/2018|29307|29/05/2018
16/02/2018|133708|29/05/2018
15/02/2018|97896|29/05/2018
14/02/2018|58022|29/05/2018
13/02/2018|58263|29/05/2018
12/02/2018|118578|29/05/2018
11/02/2018|40833|29/05/2018
10/02/2018|31101|29/05/2018
09/02/2018|72743|29/05/2018
08/02/2018|66380|29/05/2018
07/02/2018|67139|29/05/2018
06/02/2018|85183|29/05/2018
05/02/2018|70874|29/05/2018
04/02/2018|30527|29/05/2018
03/02/2018|30484|29/05/2018
02/02/2018|78312|29/05/2018
01/02/2018|506243|29/05/2018
31/01/2018|152387|29/05/2018
30/01/2018|48474|29/05/2018
29/01/2018|93079|29/05/2018
28/01/2018|30156|29/05/2018
27/01/2018|24493|29/05/2018
26/01/2018|66473|29/05/2018
25/01/2018|61358|29/05/2018
24/01/2018|61891|29/05/2018
23/01/2018|61264|29/05/2018
22/01/2018|120398|29/05/2018
21/01/2018|32684|29/05/2018
20/01/2018|30966|29/05/2018
19/01/2018|73125|29/05/2018
18/01/2018|67544|29/05/2018
17/01/2018|67025|29/05/2018
16/01/2018|148299|29/05/2018
15/01/2018|173098|29/05/2018
14/01/2018|35075|29/05/2018
13/01/2018|28577|29/05/2018
12/01/2018|74915|29/05/2018
11/01/2018|69053|29/05/2018
10/01/2018|72532|29/05/2018
09/01/2018|64447|29/05/2018
08/01/2018|141587|29/05/2018
07/01/2018|37686|29/05/2018
06/01/2018|35925|29/05/2018
05/01/2018|77472|29/05/2018
04/01/2018|71655|29/05/2018
03/01/2018|70020|29/05/2018
02/01/2018|122504|29/05/2018
01/01/2018|532155|29/05/2018
31/05/2018|140|01/06/2018
30/05/2018|4639|01/06/2018
29/05/2018|52063|01/06/2018
28/05/2018|136636|01/06/2018
27/05/2018|24474|01/06/2018
26/05/2018|30694|01/06/2018
25/05/2018|84466|01/06/2018
24/05/2018|100180|01/06/2018
23/05/2018|127646|01/06/2018
22/05/2018|128294|01/06/2018
21/05/2018|268691|01/06/2018
20/05/2018|54189|01/06/2018
19/05/2018|51236|01/06/2018
18/05/2018|126447|01/06/2018
17/05/2018|126081|01/06/2018
16/05/2018|287773|01/06/2018
15/05/2018|175842|01/06/2018
14/05/2018|263513|01/06/2018
13/05/2018|47794|01/06/2018
12/05/2018|47001|01/06/2018
11/05/2018|122643|01/06/2018
10/05/2018|115521|01/06/2018
09/05/2018|136933|01/06/2018
08/05/2018|106542|01/06/2018
07/05/2018|268715|01/06/2018
06/05/2018|42206|01/06/2018
05/05/2018|49442|01/06/2018
04/05/2018|107077|01/06/2018
03/05/2018|116128|01/06/2018
02/05/2018|238984|01/06/2018
01/05/2018|7982976|01/06/2018
30/04/2018|220688|01/06/2018
29/04/2018|31335|01/06/2018
28/04/2018|29831|01/06/2018
27/04/2018|73122|01/06/2018
26/04/2018|77231|01/06/2018
25/04/2018|85632|01/06/2018
24/04/2018|76713|01/06/2018
23/04/2018|154555|01/06/2018
22/04/2018|36125|01/06/2018
21/04/2018|34509|01/06/2018
20/04/2018|87772|01/06/2018
19/04/2018|85136|01/06/2018
18/04/2018|83801|01/06/2018
17/04/2018|83920|01/06/2018
16/04/2018|226525|01/06/2018
15/04/2018|71185|01/06/2018
14/04/2018|34780|01/06/2018
13/04/2018|78983|01/06/2018
12/04/2018|79869|01/06/2018
11/04/2018|86520|01/06/2018
10/04/2018|81971|01/06/2018
09/04/2018|152380|01/06/2018
08/04/2018|40676|01/06/2018
07/04/2018|35481|01/06/2018
06/04/2018|84552|01/06/2018
05/04/2018|82190|01/06/2018
04/04/2018|78884|01/06/2018
03/04/2018|78959|01/06/2018
02/04/2018|180070|01/06/2018
01/04/2018|252739|01/06/2018
31/03/2018|100916|01/06/2018
30/03/2018|30375|01/06/2018
29/03/2018|38060|01/06/2018
28/03/2018|63102|01/06/2018
27/03/2018|53967|01/06/2018
26/03/2018|87442|01/06/2018
25/03/2018|25306|01/06/2018
24/03/2018|24958|01/06/2018
23/03/2018|63917|01/06/2018
22/03/2018|63956|01/06/2018
21/03/2018|69685|01/06/2018
20/03/2018|95472|01/06/2018
19/03/2018|66303|01/06/2018
18/03/2018|30054|01/06/2018
17/03/2018|32322|01/06/2018
16/03/2018|139873|01/06/2018
15/03/2018|102231|01/06/2018
14/03/2018|60507|01/06/2018
13/03/2018|63645|01/06/2018
12/03/2018|118645|01/06/2018
11/03/2018|31602|01/06/2018
10/03/2018|31569|01/06/2018
09/03/2018|72593|01/06/2018
08/03/2018|75325|01/06/2018
07/03/2018|69599|01/06/2018
06/03/2018|69152|01/06/2018
05/03/2018|141700|01/06/2018
04/03/2018|33341|01/06/2018
03/03/2018|31472|01/06/2018
02/03/2018|92612|01/06/2018
01/03/2018|667918|01/06/2018
28/02/2018|165347|01/06/2018
27/02/2018|50835|01/06/2018
26/02/2018|103646|01/06/2018
25/02/2018|29271|01/06/2018
24/02/2018|24587|01/06/2018
23/02/2018|65968|01/06/2018
22/02/2018|70043|01/06/2018
21/02/2018|63694|01/06/2018
20/02/2018|65095|01/06/2018
19/02/2018|120098|01/06/2018
18/02/2018|33311|01/06/2018
17/02/2018|29182|01/06/2018
16/02/2018|133140|01/06/2018
15/02/2018|97577|01/06/2018
14/02/2018|57676|01/06/2018
13/02/2018|57872|01/06/2018
12/02/2018|117848|01/06/2018
11/02/2018|40744|01/06/2018
10/02/2018|31318|01/06/2018
09/02/2018|71958|01/06/2018
08/02/2018|66061|01/06/2018
07/02/2018|66775|01/06/2018
06/02/2018|84811|01/06/2018
05/02/2018|71165|01/06/2018
04/02/2018|30445|01/06/2018
03/02/2018|29938|01/06/2018
02/02/2018|78023|01/06/2018
01/02/2018|502769|01/06/2018
31/01/2018|152186|01/06/2018
30/01/2018|48293|01/06/2018
29/01/2018|92569|01/06/2018
28/01/2018|30097|01/06/2018
27/01/2018|24367|01/06/2018
26/01/2018|66240|01/06/2018
25/01/2018|61124|01/06/2018
24/01/2018|61663|01/06/2018
23/01/2018|61029|01/06/2018
22/01/2018|119786|01/06/2018
21/01/2018|32619|01/06/2018
20/01/2018|30816|01/06/2018
19/01/2018|72915|01/06/2018
18/01/2018|67325|01/06/2018
17/01/2018|66787|01/06/2018
16/01/2018|147505|01/06/2018
15/01/2018|172317|01/06/2018
14/01/2018|35017|01/06/2018
13/01/2018|28500|01/06/2018
12/01/2018|74726|01/06/2018
11/01/2018|68819|01/06/2018
10/01/2018|72317|01/06/2018
09/01/2018|64171|01/06/2018
08/01/2018|140954|01/06/2018
07/01/2018|37632|01/06/2018
06/01/2018|35767|01/06/2018
05/01/2018|77286|01/06/2018
04/01/2018|71552|01/06/2018
03/01/2018|69708|01/06/2018
02/01/2018|122190|01/06/2018
01/01/2018|529491|01/06/2018
04/06/2018|133|04/06/2018
03/06/2018|29|04/06/2018
02/06/2018|222|04/06/2018
01/06/2018|13017|04/06/2018
31/05/2018|53741|04/06/2018
30/05/2018|82894|04/06/2018
29/05/2018|90734|04/06/2018
28/05/2018|232951|04/06/2018
27/05/2018|39829|04/06/2018
26/05/2018|44579|04/06/2018
25/05/2018|104948|04/06/2018
24/05/2018|118697|04/06/2018
23/05/2018|133245|04/06/2018
22/05/2018|127990|04/06/2018
21/05/2018|271489|04/06/2018
20/05/2018|53316|04/06/2018
19/05/2018|50352|04/06/2018
18/05/2018|122703|04/06/2018
17/05/2018|124898|04/06/2018
16/05/2018|292249|04/06/2018
15/05/2018|171884|04/06/2018
14/05/2018|257954|04/06/2018
13/05/2018|43998|04/06/2018
12/05/2018|47668|04/06/2018
11/05/2018|121390|04/06/2018
10/05/2018|116478|04/06/2018
09/05/2018|134994|04/06/2018
08/05/2018|105211|04/06/2018
07/05/2018|264547|04/06/2018
06/05/2018|41714|04/06/2018
05/05/2018|49629|04/06/2018
04/05/2018|105201|04/06/2018
03/05/2018|116941|04/06/2018
02/05/2018|237237|04/06/2018
01/05/2018|7899194|04/06/2018
30/04/2018|218170|04/06/2018
29/04/2018|31081|04/06/2018
28/04/2018|29469|04/06/2018
27/04/2018|71157|04/06/2018
26/04/2018|76183|04/06/2018
25/04/2018|84476|04/06/2018
24/04/2018|75562|04/06/2018
23/04/2018|152456|04/06/2018
22/04/2018|35967|04/06/2018
21/04/2018|34216|04/06/2018
20/04/2018|87075|04/06/2018
19/04/2018|82256|04/06/2018
18/04/2018|82989|04/06/2018
17/04/2018|82874|04/06/2018
16/04/2018|224006|04/06/2018
15/04/2018|70953|04/06/2018
14/04/2018|34527|04/06/2018
13/04/2018|78407|04/06/2018
12/04/2018|78998|04/06/2018
11/04/2018|85628|04/06/2018
10/04/2018|81153|04/06/2018
09/04/2018|150353|04/06/2018
08/04/2018|40283|04/06/2018
07/04/2018|35266|04/06/2018
06/04/2018|83874|04/06/2018
05/04/2018|81466|04/06/2018
04/04/2018|78211|04/06/2018
03/04/2018|78271|04/06/2018
02/04/2018|178411|04/06/2018
01/04/2018|245571|04/06/2018
31/03/2018|100717|04/06/2018
30/03/2018|30239|04/06/2018
29/03/2018|37864|04/06/2018
28/03/2018|61803|04/06/2018
27/03/2018|53512|04/06/2018
26/03/2018|86696|04/06/2018
25/03/2018|25241|04/06/2018
24/03/2018|24830|04/06/2018
23/03/2018|63739|04/06/2018
22/03/2018|63373|04/06/2018
21/03/2018|69211|04/06/2018
20/03/2018|94661|04/06/2018
19/03/2018|65697|04/06/2018
18/03/2018|29960|04/06/2018
17/03/2018|32202|04/06/2018
16/03/2018|139247|04/06/2018
15/03/2018|101845|04/06/2018
14/03/2018|60080|04/06/2018
13/03/2018|63099|04/06/2018
12/03/2018|117673|04/06/2018
11/03/2018|31481|04/06/2018
10/03/2018|31435|04/06/2018
09/03/2018|72181|04/06/2018
08/03/2018|74896|04/06/2018
07/03/2018|69123|04/06/2018
